legacy_url,legacy_title,source_exports,post_types,final_destination,decision,rationale
https://na.org.za/,Home,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,page,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?page_id=1459,Refund and Returns Policy,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,page,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3140,"Methodist Church, Burg Street",narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3142,Salesians Institute,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3144,"Western Cape, South Africa",narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3146,"3 Batavia Rd, Bloubergstrand, Cape Town, 7436, South Africa",narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3148,Delft Civic c/o Delft and Voorbrug Main Road,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3150,GROOTE KERK Sentrum,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3152,"House Of Steps, Plettenberg Bay",narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3154,"Methodist Church, off Marsh Street",narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3156,ST Martin's Anglican Church,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3158,St. Mark's Catholic Church,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3160,"United Church, Hermanus",narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3162,"NG Gemeente, Gordon's bay",narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3164,Bonteheuwel Multi-Purpose Centre,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3166,"Durbanville Presbyterian Church, Cnr Louw St and Hafele St. Durbanville.",narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3168,Moravian Church School,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3170,Mountain View Baptist Church,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3172,Observatory Community Centre Hall,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3174,"St. Marks Church, Southfield",narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3179,"East Claremont Congregational Church, Craven Hall",narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3181,Gilpine Scout Hall,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3183,Kalk Bay Community Centre,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
https://na.org.za/?post_type=tsml_location&p=3185,Table View Methodist Church,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,tsml_location,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
